Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
POINT OF AYR COLLIERY,33/11,POINT OF AYR COLLIERY T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,7.5,5.12,1.28,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,312562.464,383472.704
PREES,33/11,PREES T1,OSWESTRY GT5 / WHITCHURCH GT1,7.5,5.23,1.31,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,354764.158,333548.628
PRIMROSE HALL,33/11,PRIMROSE HALL T1,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,7.5,2.62,0.66,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Mid Cheshire,374905.156,366789.335
TWYFORDS,33/11,TWYFORDS T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,3.0,0.75,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Mid Cheshire,380983.36,355300.8
WIMPEYS PANT QUARRY,33/11,WIMPEYS PANT QUARRY T1 / WIMPEYS PANT QUARRY T2,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,5.2,4.05,1.01,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,319840.45,370482.314
WRENBURY FRITH,33/11,WRENBURY FRITH T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,4.0,3.22,0.81,0.09,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Mid Cheshire,357441.538,348642.844
PENSARN,33/11,ABERGELE T1 / PENSARN T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,10.0,7.96,1.99,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,North Wales,294669.93,378513.542
ABERYSTWYTH,33/11,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,ABERYSTWYTH GT2 / RHYDLYDAN GT1,37.5,18.55,4.64,0.02,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,260705.1495,281301.1316
AIRPORT,33/11,AIRPORT T1 / ALDERWOOD AVE (CROYDE RD) T1 / HAREFIELD RD T1 / METAL BOX (SPEKE) T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,30.0,10.25,2.56,0.0,3.0,AMBER,RED,Green,Amber,Red,Red,Red,Amber,Merseyside,343156.096,382850.56
ALBERT DOCK,33/11,ALBERT DOCK T1 / KINGS DOCK T1 / KINGS DOCK T2 / WAPPING T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,30.0,6.57,1.64,0.25,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334213.888,389639.424
GARSTON,33/11,ALLERTON T1 / ECP WEST-BANKS RD T1 / GARSTON T1 / WEAVER IND EST T1 / YEW TREE RD T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,14.24,3.56,0.11,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,340525.336,384460.72
ALMATEX,33/6.6,ALMATEX T1 / ST HELENS WWTW T1 / WATERY LA T2 / ex DELTA METALS T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,18.2,9.47,2.37,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,353036.232,394685.092
WATERY LANE,33/6.6,ALMATEX T1 / ST HELENS WWTW T1 / WATERY LA T2 / ex DELTA METALS T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,18.2,9.47,2.37,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,353550.4,394126.816
LUGSDALE,33/11,APPLETON T1 / HORNSBRIDGE T1 / LUGSDALE T2,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,20.0,16.2,4.05,0.0,0.0,RED,AMBER,Green,Red,Amber,Green,Amber,Amber,Merseyside,351944.714,385718.753
ARROWE PARK HOSPITAL,33/11,ARROWE PK HOSP T1 / CHAMPION PLUGS T1 / CHAMPION PLUGS T2 / WOODCHURCH T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,9.25,2.31,2.3,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,327177.702,386630.116
GROVE PARK,33/6.3,ARUNDEL T1 / GROVE PK T1 / WAVERTREE VALE T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,17.5,10.12,2.53,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,337240.064,388545.632
CHISENHALE STREET,33/6.3,ATHOL ST T1 / CHISENHALE ST T1 / SANDHILLS LA T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.4,7.69,1.92,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334065.632,391505.856
HIRAEL,33/11,BANGOR HOSP T1 / BANGOR UNIVERSITY T1 / EITHINOG T1 / HIRAEL T1,BANGOR GT2 / CAERNARFON GT2,30.0,12.87,3.22,4.4,0.0,RED,RED,Red,Red,Red,Red,Red,Amber,North Wales,258420.336,372593.44
BARMOUTH,33/11,BARMOUTH T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,2.43,0.61,0.1,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,Dee Valley & Mid Wales,261015.128,316126.035
YKK,33/11,BASS CHARRINGTON T1 / BASS CHARRINGTON T2 / CLIFTON T1 / YKK T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,30.0,15.81,3.95,2.2,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,356284.103,379502.098
BIBBYS,33/6.3,BIBBYS T1 / INLAND REVENUE OFFICES T1 / REGENT RD T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,11.64,2.91,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,333575.744,394403.168
TARBOCK,33/11,BICC HUYTON QUARRY T1 / TARBOCK T1 / WHISTON T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,20.0,8.12,2.03,1.24,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Merseyside,346227.424,390101.792
TRANMERE,33/6.6,BIRKENHEAD CENTRAL T1 / SINGLETON AVE T1 / TRANMERE T1,PRENTON GRID GT1 / ROCK FERRY GT1,18.2,8.46,2.12,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,332409.44,387765.312
BIXTETH STREET,33/6.3,ex BIXTETH ST T1 / LITTLEWOODS T1 / PALL MALL T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,8.7,4.74,1.18,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334146.112,390760.384
KELLOGGS,33/11,BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,BOOTLE GT1 / LITHERLAND GT1A,37.5,18.68,4.67,4.3,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,332842.304,396465.632
BOULEVARD,33/11,BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,37.5,20.79,5.2,1.22,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,359197.088,391319.168
BR STATION,33/11,BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,37.5,24.27,6.07,1.01,0.24,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,370867.584,354992.768
BRITISH PIPE ASSOCIATION,33/11,BRITISH PIPE ASSOCIATION T1,ELLESMERE PORT GT2 / INCE LOCAL GT1 / INCE LOCAL GT2,7.5,3.49,0.87,1.2,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Wirral,341923.158,374546.398
SHERDLEY ROAD,33/6.6,BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,18.2,8.37,2.09,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,351819.234,394255.242
SYNTHITE,33/11,BROMFIELD T1 / BROMFIELD T2 / PONTERWYL T1 / RHYD-Y-GOLEU T1 / SYNTHITE T1,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,37.5,15.07,3.77,0.11,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,323219.093,364949.992
MORGAN REFRACTORIES,33/11,BUILDWAS RD T1 / MORGAN REFRACTORIES T1 / NESTON MAIN T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,20.0,8.65,2.16,1.53,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Wirral,328976.192,378513.138
BURMAH OIL,33/6.6,BURMAH OIL T1 / CABOT CARBON T1 / VAN LEER NO 1 T1,ELLESMERE PORT GT2 / INCE LOCAL GT1 / INCE LOCAL GT2,6.4,4.54,1.13,0.22,0.0,RED,RED,Amber,Red,Amber,Red,Red,Amber,Wirral,342387.092,375979.61
B X L BROMBOROUGH,33/11,BXL BROMBOROUGH T1 / TULIP T1,BROMBOROUGH GT3 / ROCK FERRY GT2,10.0,6.61,1.65,0.0,0.91,RED,RED,Green,Red,Red,Red,Green,Amber,Wirral,335124.064,382533.152
HOPFIELD ROAD,33/11,CADBURYS T1 / CADBURYS T2 / HOPFIELD RD T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,20.0,11.02,2.76,2.73,0.16,RED,RED,Green,Red,Red,Red,Amber,Amber,Wirral,327012.954,389618.539
CAERNARFON,33/11,CAERNARFON T1,BANGOR GT2 / CAERNARFON GT2,7.5,5.43,1.36,0.5,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,249158.6776,363544.0405
HOUGHTONS LANE,33/11,CARBORUNDUM T1 / HOUGHTONS LA T1 / RAINFORD T1 / WINDLEHURST T2,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,30.0,16.81,4.2,4.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,348062.88,396261.843
WHITEGATE,33/11,CHESTER ST (WREXHAM) T1 / EAGLES MEADOW T1 / RHOSNESNI T1 / WHITEGATE T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,30.0,13.51,3.38,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,334953.343,349653.572
KIRKDALE,33/6.3,DELAMORE ST T1 / KIRKDALE T1 / WALTON T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.4,12.47,3.12,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,335493.3173,392958.4905
DESOTO ROAD,33/11,DESOTO RD T1 / MERSEY BRIDGE T1 / PITT ST T1,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,20.0,5.4,1.35,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Merseyside,350452.2087,384329.5136
WIBP HARDKNOTT ROAD,33/11,DIBBINSDALE T1 / PLYMYARD T1 / WIBP HARDKNOTT RD T1,BROMBOROUGH GT3 / ROCK FERRY GT2,20.0,10.99,2.75,0.1,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Wirral,335418.7873,382054.8709
GRANBY,33/6.3,DINGLE T1 / GRANBY T1 / ST JAMES T2,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,17.5,5.4,1.35,0.5,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,335715.913,389120.511
QUEENSFERRY,33/11,ENGINEER PK T1 / PILKINGTONS QUEENSFERRY T1 / QUEENSFERRY T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,20.0,14.07,3.52,5.2,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Dee Valley & Mid Wales,332325.792,367988.864
FLINT,33/11,FLINT T1 / FLINT T2,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,10.0,5.93,1.48,9.5,1.1,RED,RED,Green,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,323901.947,373412.05
OXTON,33/11,FORD T1 / OXTON T1 / PRENTON LOCAL T1 / SINGLETON AVE T2,PRENTON GRID GT1 / ROCK FERRY GT1,30.0,17.62,4.4,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,330058.976,387795.648
HILL ROAD,33/6.6,GILBROOK DOCK T1 / HILL RD T1 / MOBIL OIL (WALLASEY) T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,18.2,8.53,2.13,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,329471.232,388975.392
WCB PLASTICS,33/11,GRAVEL T1 / WCB PLASTICS T1 / WHARTON T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,20.0,6.4,1.6,1.0,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Mid Cheshire,367106.336,366599.648
GREASBY,33/11,GREASBY T1 / SAUGHALL MASSIE T1 / UPTON T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,20.0,12.51,3.13,0.17,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Wirral,324927.648,387174.208
LINENHALL STREET,33/11,GROSVENOR ST T1 / LINENHALL ST T1 / NORTHGATE TERRACE T1 / STATION VIEW T1 / TOMULAR PLACE T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,21.42,5.36,0.04,0.07,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,340302.88,366264.576
TOMULAR PLACE,33/11,GROSVENOR ST T1 / LINENHALL ST T1 / NORTHGATE TERRACE T1 / STATION VIEW T1 / TOMULAR PLACE T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,21.42,5.36,0.04,0.07,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,341211.467,366362.712
HARRINGTON STREET A,33/6.3,HARRINGTON ST T3 / LIME ST T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,8.7,4.15,1.04,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334470.204,390364.386
HASKAYNE,33/11,HASKAYNE T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,7.5,2.08,0.52,1.28,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Merseyside,335948.642,407514.581
WHISTON HOSPITAL,33/11,HOLT LA (WARRINGTON RD) T1 / PRESCOT T1 / RAINHILL LOCAL T1 / WHISTON HOSP T1,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,19.43,4.86,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,348155.858,391815.405
HUYTON HEY ROAD,33/11,HUYTON HEY RD T1 / WILSON RD T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,10.0,6.89,1.72,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Merseyside,344617.824,390700.16
SOUTHPORT,33/11,IVY ST (SOUTHPORT) T1 / KENSINGTON RD T1 / MARKET ST T1 / SOUTHPORT T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,30.0,15.03,3.76,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Merseyside,336510.949,416761.434
SAFEWAY,33/11,KINGSLAND 33 T1 / SAFEWAY T1 / WOOLSTON T1 / WOOLSTON T2,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,30.0,16.87,4.22,0.63,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,365410.464,389573.056
KINNERTON,33/11,KINNERTON T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,7.5,3.24,0.81,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,334804.5138,362541.0618
LEIGHTON HOSPITAL,33/11,LEIGHTON HOSP T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,3.45,0.86,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Mid Cheshire,368156.2985,357794.1401
LLANDYRNOG,33/11,LLANDYRNOG T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,5.0,3.02,0.76,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,311208.023,365711.742
LLANFAIR PG,33/11,LLANFAIR PG T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,4.06,1.01,0.0,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,253446.0359,372467.8818
LLANFAIRFECHAN,33/11,LLANFAIRFECHAN T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,7.5,2.05,0.51,0.27,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,North Wales,268668.192,374354.976
LLANFROTHEN,33/11,LLANFROTHEN T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,2.05,0.51,0.1,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,261598.3636,340245.3488
LLANGOLLEN,33/11,LLANGOLLEN T1 / LLANGOLLEN T2,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,10.0,4.81,1.2,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,322036.801,341554.085
MAELOR CREAMERY,33/11,MAELOR CREAMERY T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,7.5,3.37,0.84,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,338629.577,346684.432
MIDPOINT POCHIN WAY,33/11,MIDPOINT POCHIN WAY T1,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,7.5,1.69,0.42,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Mid Cheshire,371679.144,365563.649
MINFFORDD,33/11,MINFFORDD T1 / PARC BRYN CEGIN T1 / PARC BRYN CEGIN T2,BANGOR GT2 / CAERNARFON GT2,20.0,3.6,0.9,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,257800.685,370928.729
PARC BRYN CEGIN,33/11,MINFFORDD T1 / PARC BRYN CEGIN T1 / PARC BRYN CEGIN T2,BANGOR GT2 / CAERNARFON GT2,20.0,3.6,0.9,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,258875.7843,370480.1888
MORGANITE CERAMICS,33/11,MORGANITE CERAMICS T1 / PLYMYARD T2 / VAUXHALL NORTH RD T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,20.0,6.76,1.69,0.0,0.6,RED,AMBER,Green,Red,Green,Green,Green,Amber,Wirral,335588.224,381787.072
NEWHALL,33/11,NEWHALL T1 / NEWHALL T2,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,10.0,3.92,0.98,0.0,0.0,RED,RED,Red,Red,Amber,Red,Green,Amber,Mid Cheshire,360505.174,344934.778
N W FARMERS,33/11,CHESHIRE GREEN T1 / NWF T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,10.0,5.56,1.39,0.0,0.5,RED,RED,Red,Red,Amber,Red,Green,Amber,Mid Cheshire,359990.943,357672.691
PILKINGTONS,33/11,PILKINGTONS T1 / PILKINGTONS T2,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,10.0,3.47,0.87,0.0,0.0,RED,RED,Red,Red,Amber,Red,Green,Amber,North Wales,301875.614,374030.248
RHOSLAN,33/11,RHOSLAN T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,3.22,0.81,0.17,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,248132.547,340747.269
RIVALS,33/11,RIVALS T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,1.35,0.34,0.0,0.0,RED,AMBER,Red,Amber,Amber,Amber,Green,Amber,North Wales,238382.961,345660.838
SALTNEY GRID,33/11,SALTNEY T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,7.5,2.51,0.63,0.06,0.1,RED,RED,Green,Red,Red,Red,Green,Amber,Wirral,337164.7639,365316.1379
SHAWBURY,33/11,SHAWBURY T1,OSWESTRY GT5 / WHITCHURCH GT1,6.81,5.24,1.31,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,354316.347,322670.133
SMALLWOOD,33/11,SMALLWOOD T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,5.62,1.41,0.03,0.2,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,381854.4,360839.008
ST ASAPH BUSINESS PARK,33/11,ST ASAPH BUSINESS PK T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,7.5,3.91,0.98,0.14,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,North Wales,301799.1065,374570.2695
ST HELENS ROAD,33/11,ST HELENS RD T1,BANGOR GT2 / CAERNARFON GT2,7.5,4.19,1.05,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,248095.612,362038.226
TRYWERYN,33/11,TRYWERYN T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,1.69,0.42,5.1,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,Dee Valley & Mid Wales,288126.834,340393.237
MIXALLOY,33/11,AIRBUS T1 / BROUGHTON RETAIL PARK T1 / MIXALLOY T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,20.0,7.01,1.75,3.09,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Dee Valley & Mid Wales,333634.411,364686.596
KINGS DOCK,33/11,ALBERT DOCK T1 / KINGS DOCK T1 / KINGS DOCK T2 / WAPPING T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,30.0,6.57,1.64,0.25,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334348.194,389279.72
ALMONDS TURN,33/11,ALMONDS TURN T1 / ATLANTIC COMPLEX T1 / GIRO T1 / MIDLAND BANK T1 / NETHERTON T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,37.5,14.53,3.63,3.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,334639.694,399862.686
APPLETON,33/11,APPLETON T1 / HORNSBRIDGE T1 / LUGSDALE T2,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,20.0,16.2,4.05,0.0,0.0,RED,AMBER,Green,Red,Amber,Green,Amber,Amber,Merseyside,351691.68,386316.992
PICOW FARM ROAD,33/11,ASTMOOR IND EST T1 / MACKAMAX T1 / MERSEY RD T1 / PICOW FARM RD T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,30.0,11.08,2.77,7.74,0.0,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,350803.84,382706.528
SANDHILLS LANE,33/6.3,ATHOL ST T1 / CHISENHALE ST T1 / SANDHILLS LA T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.4,7.69,1.92,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334174.752,393102.944
BARNSTON,33/11,BARNSTON T1 / GAYTON T1 / IRBY T1 / THINGWALL T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,17.49,4.37,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,327137.6,382847.392
THINGWALL,33/11,BARNSTON T1 / GAYTON T1 / IRBY T1 / THINGWALL T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,17.49,4.37,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,326791.872,384914.08
BEMROSE,33/11,BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,37.5,19.29,4.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,337294.496,395937.184
NORRIS GREEN,33/11,BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,37.5,19.29,4.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,338272.48,394438.912
BENTINCK STREET,33/6.6,BENTINCK ST T1 / BENTINCK ST T2 / CHESTER ST T1,PRENTON GRID GT1 / ROCK FERRY GT1,18.2,7.78,1.94,0.7,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,331479.7478,388724.6605
BETWS-Y-COED,33/11,BETWS-Y-COED T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,7.5,3.46,0.87,0.1,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,North Wales,279455.752,356623.582
