Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
HAREFIELD ROAD,33/11,AIRPORT T1 / ALDERWOOD AVE (CROYDE RD) T1 / HAREFIELD RD T1 / METAL BOX (SPEKE) T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,30.0,10.25,2.56,0.0,3.0,AMBER,RED,Green,Amber,Red,Red,Red,Amber,Merseyside,343879.52,383147.52
GIRO BOOTLE,33/11,ALMONDS TURN T1 / ATLANTIC COMPLEX T1 / GIRO T1 / MIDLAND BANK T1 / NETHERTON T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,37.5,14.53,3.63,3.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,335615.104,397686.08
ARUNDEL,33/6.3,ARUNDEL T1 / GROVE PK T1 / WAVERTREE VALE T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,17.5,10.12,2.53,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,338361.568,388396.192
ASH ROAD,33/11,ASH RD T1 / KELLOGGS (WREXHAM) T1 / KELLOGGS (WREXHAM) T2,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,20.0,15.74,3.94,1.75,5.0,RED,RED,Red,Red,Red,Red,Amber,Amber,Dee Valley & Mid Wales,337668.361,350532.0581
ASSOCIATED LEAD,33/11,ASSOCIATED LEAD T1 / GREAT BOUGHTON T1 / PIPERS ASH T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,20.0,12.26,3.06,0.05,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Wirral,341691.936,366694.976
PIPERS ASH,33/11,ASSOCIATED LEAD T1 / GREAT BOUGHTON T1 / PIPERS ASH T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,20.0,12.26,3.06,0.05,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Wirral,343115.616,367551.84
BANGOR HOSPITAL,33/11,BANGOR HOSP T1 / BANGOR UNIVERSITY T1 / EITHINOG T1 / HIRAEL T1,BANGOR GT2 / CAERNARFON GT2,30.0,12.87,3.22,4.4,0.0,RED,RED,Red,Red,Red,Red,Red,Amber,North Wales,256001.952,370262.176
EITHINOG,33/11,BANGOR HOSP T1 / BANGOR UNIVERSITY T1 / EITHINOG T1 / HIRAEL T1,BANGOR GT2 / CAERNARFON GT2,30.0,12.87,3.22,4.4,0.0,RED,RED,Red,Red,Red,Red,Red,Amber,North Wales,256461.712,371489.28
BERSHAM ROAD,33/11,BERSHAM RD T1 / IND COOPE T1 / RHYD BROUGHTON LA T1 / TUTTLE ST T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,30.0,15.49,3.87,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,332241.3597,349615.7488
TUTTLE STREET,33/11,BERSHAM RD T1 / IND COOPE T1 / RHYD BROUGHTON LA T1 / TUTTLE ST T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,30.0,15.49,3.87,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,333601.568,350055.328
BOLTON STREET,33/11,BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,14.89,3.72,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,335094.72,390374.688
WASHINGTON STREET,33/11,BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,BOOTLE GT1 / LITHERLAND GT1A,37.5,18.68,4.67,4.3,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,334078.08,395565.568
BOOTLE,33/11,BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,BOOTLE GT1 / LITHERLAND GT1A,30.0,15.28,3.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,334644.418,395956.525
